證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3406","玉晶光","17,124,400","5,873,082,395","350.00","353.00","332.50","342.50","-1.00","13,180"
"3413","京鼎","253,537","28,097,874","111.00","112.00","109.50","111.50","+1.00","208"
"3416","融程電","81,500","4,484,750","55.20","55.70","54.20","55.00","+0.50","68"
"3419","譁裕","966,003","14,243,595","15.10","15.15","14.55","14.55","-0.45","444"
"3432","台端","121,502","1,732,703","14.55","14.55","14.15","14.15","-0.20","52"
"3437","榮創","1,087,305","15,103,245","14.00","14.20","13.70","13.80","-0.20","548"
"3443","創意","3,658,140","773,613,880","215.50","217.00","208.50","214.00","+1.00","2,687"
"3450","聯鈞","1,149,784","60,367,516","53.10","53.80","51.50","51.70","-1.40","919"
"3454","晶睿","223,408","25,326,104","114.50","115.50","112.50","113.00"," 0.00","189"
"3481","群創","90,717,043","690,545,103","7.50","7.74","7.50","7.57","+0.01","14,543"
"3494","誠研","240,001","1,081,864","4.46","4.57","4.45","4.54","+0.09","86"
"3501","維熹","172,292","8,851,260","51.70","51.70","51.10","51.40","+0.10","107"
"3504","揚明光","2,147,460","186,998,948","87.50","88.40","85.10","87.80","+0.80","1,614"
"3515","華擎","74,125","4,344,400","58.50","59.10","58.20","58.70","-0.10","64"
"3518","柏騰","37,001","627,667","17.10","17.10","16.75","16.95","-0.05","28"
"3528","安馳","550,299","22,013,846","40.00","40.10","40.00","40.00","+0.10","197"
"3530","晶相光","187,000","13,848,600","76.10","76.20","73.10","73.40","-3.50","139"
"3532","台勝科","534,680","54,544,197","103.00","104.50","100.50","102.50","-0.50","465"
"3533","嘉澤","772,660","167,342,400","218.00","221.50","214.50","215.00","-3.00","679"
"3535","晶彩科","10,479,128","347,786,935","33.95","33.95","32.30","33.30","+0.25","5,549"
"3536","誠創","105,868","643,785","6.08","6.16","6.02","6.06","-0.10","48"
"3545","敦泰","3,056,814","64,272,236","21.70","21.75","20.55","20.65","-0.95","1,468"
"3550","聯穎","199,000","3,027,700","15.10","15.35","15.00","15.15","-0.15","100"
"3557","嘉威","537,676","13,083,406","23.80","24.65","23.80","24.50","+0.70","266"
"3563","牧德","478,586","169,942,444","361.50","364.00","350.50","351.00","-10.00","486"
